ID,Project Title,Donor(s),Category,Status,Start Date,End Date,Country Implementation (New),Ocean Region,Beneficiaries ,Implementing Agency,Total Project Cost,Primary Funding,Co-funding,Ecosystem,Web Link,Further Information
83,A Rodrigues Marine Observatory,Global Environment Facility (GEF) Small Grants Programme,Monitoring and Research,Closed,1997,1999,Mauritius,Eastern Africa,Rodrigues Underwater Group,Rodrigues Underwater Group,USD 515500,USD 32500,USD 483000,Coral Reef,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=142&Itemid=272,Data not available
480,A Toolkit for Managing River Inputs to Coral Reefs (PR),National Fish and Wildlife Foundation (Keystone Initiative - Marine & Coastal),Conservation and Sustainability,Active,2015,Data not available,United States of America,Wider Caribbean,Villanova University,Villanova University,USD 286919,USD 125454,USD 161465,Coral Reef,http://www.nfwf.org/whatwedo/grants/search/pages/grant-profile.aspx?EGID=46613,Create a cost effective transferrable and easy-to-use toolkit consisting of models and a management guide that will support watershed management. Project will use a multi-tiered sequential approach combining analyses of instantaneous water quality and coral health / riparian buffer efficacy / and the record of historic land use in coral and sediment cores to identify land-based sources of pollution and to reduce specific acute and / or chronic stressors on coral reefs in the Guánica watershed.
173,Adaptation to climate change in Quirimbas national park,Fonds Français pour l'Environnement Mondial (FFEM); French Development Agency (AFD),Climate Change Resilience,Closed,2010,2014,Mozambique,Eastern Africa,Republic of Mozambique,Ministry of Tourism,USD 8900000,Data not available,Data not available,Coral Reef,Data not available,Data not available
210,Adapting to climate change in the community of Calibishie by increasing community resilience to flooding and sea level rise,Global Environment Facility (GEF) Small Grants Programme,Climate Change Resilience,Closed,2013,2013,Dominica,Wider Caribbean,Calibisihie Progressive Group,Calibisihie Progressive Group,USD 9000,USD 2500,USD 6500,Coral Reef,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=20737&Itemid=272,Data not available
467,Addressing Global Threats at Local Scales in Coral Reef Communities,NOAA Coral Reef Conservation Program,Communication and Awareness; Conservation and Sustainability,Data not available,2012,Data not available,United States of America,Data not available,The Nature Conservancy,The Nature Conservancy,USD 1771966,USD 997000,USD 774966,Coral Reef,https://ocmcoralreef.blob.core.windows.net/coralreef-prod/media/docs/fy12_grant_awards.pdf,Other Competitive Awards
468,Addressing Global Threats at Local Scales in Coral Reef Communities,NOAA Coral Reef Conservation Program,Communication and Awareness; Conservation and Sustainability,Data not available,2011,Data not available,United States of America,Data not available,The Nature Conservancy,The Nature Conservancy,USD 1951410,USD 1000000,USD 951410,Coral Reef,https://ocmcoralreef.blob.core.windows.net/coralreef-prod/media/docs/fy11_grant_awards.pdf,Other Competitive Awards
471,Addressing Global Threats at Local Scales in Coral Reef Communities,NOAA Coral Reef Conservation Program,Communication and Awareness; Conservation and Sustainability,Data not available,2010,Data not available,United States of America,Data not available,The Nature Conservancy,The Nature Conservancy,USD 1951410,USD 1000000,USD 951410,Coral Reef,https://ocmcoralreef.blob.core.windows.net/coralreef-prod/media/docs/fy10_grant_awards.pdf,Other Competitive Awards
464,Addressing Threats to Coral Reefs by Supporting and Building the Capacity of Local Managers and Communities,NOAA Coral Reef Conservation Program,Communication and Awareness; Conservation and Sustainability,Data not available,2014,Data not available,United States of America,Data not available,The Nature Conservancy,The Nature Conservancy,USD 1460388,USD 731718,USD 728670,Coral Reef,https://ocmcoralreef.blob.core.windows.net/coralreef-prod/media/docs/FY14_ALLCoralGrants_rev_01182018-FINAL.pdf,Other Competitive Awards
465,Addressing Threats to Coral Reefs by Supporting and Building the Capacity of Local Managers and Communities,NOAA Coral Reef Conservation Program,Communication and Awareness; Conservation and Sustainability,Data not available,2013,Data not available,United States of America,Data not available,The Nature Conservancy,The Nature Conservancy,USD 1446080,USD 721516,USD 724564,Coral Reef,https://ocmcoralreef.blob.core.windows.net/coralreef-prod/media/docs/fy13_grant_awards.pdf,Other Competitive Awards
335,Advancing Marine Protected Areas in the Bahamas,Oceans5,Marine Protected Areas Management,Active,2016,2019,Bahamas,Wider Caribbean,The Bahamas National Protected Area System,The Nature Conservancy (TNC); The Bahamas National Trust (BNT); The Bahamas Reef Environment Educational Foundation (BREEF),USD 1200000,Data not available,Data not available,Coral Reef,http://oceans5.org/project/advancing-marine-protected-areas-in-the-bahamas/,Data not available
191,Advocating for the Enforcement of Protected Areas Laws,Oak Foundation,Marine Protected Areas Management,Closed,2011,Data not available,Belize,Wider Caribbean,Data not available,Ya'axche Conservation Trust,USD 142324,USD 75000,USD 67324,Coral Reef,Data not available,Data not available
39,Alternatives Income Generating Activities For Fisherman,Global Environment Facility (GEF) Small Grants Programme,Fisheries Management and Governance,Closed,1995,1997,Indonesia,East Asian Sea,Jaringan Kerjasama Masyarakat Pesisir,Jaringan Kerjasama Masyarakat Pesisir,USD 17455,USD 14703,USD 2752,Coral Reef,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=234&Itemid=272,Data not available
286,An Assessment of Montserrat's Fisheries,Waitt Institute; US Santa Barbara,Fisheries Management and Governance,Closed,2015,2016,United Kingdom,Wider Caribbean,Data not available,Data not available,Data not available,Data not available,Data not available,Coral Reef,https://www.issuelab.org/resource/an-assessment-of-montserrat-s-fisheries.html,Data not available
272,An ecological assessment of Ascension Island’s shallow-water seamounts as candidate Marine Protected Areas,European Commission through Biodiversity and Ecosystem Services in Territories of European Overseas Initiative (BEST),Monitoring and Research,Closed,2011,2016,United Kingdom,West and Central Africa,Ascension Island,Ascension Island Government Conservation and Fisheries Department,Data not available,Data not available,Data not available,Coral Reef,http://ec.europa.eu/environment/nature/biodiversity/best/pdf/BEST_Brochure_2017-brochure_complete_WEB.pdf,Data not available
403,An Ecosystem Services Approach to Informing Planning and Conservation for a Resilient San Francisco Bay Area Coastline,Gordon and Betty Moore Foundation,Conservation and Sustainability,Active,2016,2018,United States of America,Pacific,Stanford University Woods Institute for the Environment,Stanford University Woods Institute for the Environment,USD 1000000,USD 1000000,USD 0,Coral Reef,https://www.moore.org/grant-detail?grantId=GBMF5599,Data not available
118,Andaman and Nicobar Islands: Ecologically-Sustainable Island Development,Global Environment Facility (GEF) Trust Fund,Promoting sustainable living and alternative livelihoods,Closed,2006,2015,India,South Asian Seas,Andaman and Nicobar Islands Government Resource allocation,United Nations Development Programme (UNDP); Ministry of Environment and Forests (MoEF),USD 9732200,USD 3733600,USD 5998600,Coral Reef; Seagrass,https://www.thegef.org/project/andaman-and-nicobar-islands-ecologically-sustainable-island-development,Data not available
16,Anou Refaire La Caz Ourite/ The Reconstruction Of Artificial Burrows For Octopus ,Global Environment Facility (GEF) Small Grants Programme,Conservation and Sustainability,Closed,2005,2006,Mauritius,Eastern Africa,Environmental Protection and Conservation Organisation,Environmental Protection and Conservation Organisation,USD 28801,USD 15980,USD 12821,Coral Reef,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=8364&Itemid=272,Data not available
360,Apai - Manono Tai Village marine resources rehabilitation project,Global Environment Facility (GEF) Small Grants Programme,Conservation and Sustainability,Active,2015,2017,Samoa,Pacific,Alii ma Faipule Apai Manono Village,Alii ma Faipule Apai Manono Village,USD 55000,USD 25000,USD 30000,Coral Reef,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=23798&Itemid=272,Data not available
124,Applying an Ecosystem-based Approach to Fisheries Management: Focus on Seamounts in the Southern Indian Ocean,Global Environment Facility (GEF) Trust Fund,Fisheries Management and Governance,Closed,2008,2012,France; Madagascar; Mauritius; Mozambique; South Africa,Eastern Africa; West and Central Africa,Bethnic Protected Areas; Southern Indian Ocean Deepwater Fishers Association,United Nations Development Programme (UNDP); International Union for Conservation of Nature; World Conservation Union,USD 5760000,USD 1000000,USD 4760000,Coral Reef,https://www.thegef.org/project/applying-ecosystem-based-approach-fisheries-management-focus-seamounts-southern-indian-ocean,Data not available
